Date,USD_FX,USD_Stock,USD_Yield10Y,EUR_Stock,EUR_FX,EUR_Yield10Y,JPY_Stock,JPY_FX,JPY_Yield10Y,GBP_FX,GBP_Stock,GBP_Yield10Y,CAD_FX,CAD_Stock,CAD_Yield10Y,AUD_Stock,AUD_Yield10Y,AUD_FX,CHF_FX,CHF_Stock,CHF_Yield10Y,NZD_Stock,NZD_FX,NZD_Yield10Y,SEK_FX,SEK_Stock,SEK_Yield10Y,NOK_FX,NOK_Stock,NOK_Yield10Y,Global_Gold,Global_VIX,Global_Oil,Global_US10Y,Global_Copper,Global_SP500,Global_US2Y,Global_Shanghai,Global_IronOre,CNY_FX,CNY_Stock,CNY_Yield10Y
2005-01-01,,,,,,3.5647619047619,,,1.31,,,4.5419,,,4.2605,,5.351842105,,,,2.249,,,5.99,,,3.84,,,3.9,,,,,,,,,,,,3.0
2005-01-03,81.30000305175781,1202.0799560546875,4.23,4291.52978515625,1.3470009565353394,3.5647619047619,,102.73999786376952,1.31,1.904616951942444,,4.5419,1.207800030708313,,4.2605,,5.351842105,0.779,1.1469999551773071,5768.7001953125,2.249,,0.7158196568489075,5.99,6.706999778747559,10.74279499053955,3.84,6.114299774169922,198.3800048828125,3.9,428.7000122070313,14.079999923706056,42.119998931884766,4.21999979019165,1.5234999656677246,1202.0799560546875,3.1,,,8.266501426696777,,3.0
2005-01-04,82.56999969482422,1188.050048828125,4.29,4290.5,1.3281975984573364,3.5647619047619,11517.75,104.33999633789062,1.31,1.8835939168930047,4847.0,4.5419,1.2211999893188477,9143.0,4.2605,4058.60009765625,5.351842105,0.7668,1.1676000356674194,5775.5,2.249,,0.7025925517082214,5.99,6.809700012207031,10.473591804504396,3.84,6.231800079345703,197.32000732421875,3.9,428.5,13.979999542236328,43.90999984741211,4.2829999923706055,1.3949999809265137,1188.050048828125,3.2,1242.7740478515625,0.0908868014812469,8.266501426696777,1242.7740478515625,3.0
2005-01-05,82.54000091552734,1183.739990234375,4.29,4258.240234375,1.3280036449432373,3.5647619047619,11437.51953125,103.93000030517578,1.31,1.8855117559432983,4806.0,4.5419,1.2244000434875488,9021.099609375,4.2605,4039.39990234375,5.351842105,0.7678,1.1669000387191772,5725.5,2.249,3087.389892578125,0.7029876708984375,5.99,6.80019998550415,10.468513488769531,3.84,6.225100040435791,194.6300048828125,3.9,426.6000061035156,14.09000015258789,43.38999938964844,4.276999950408936,1.4220000505447388,1183.739990234375,3.22,1251.93701171875,0.0898769348859787,8.266501426696777,1251.93701171875,3.0
2005-01-06,83.1500015258789,1187.8900146484375,4.29,4300.93994140625,1.3183046579360962,3.5647619047619,11492.259765625,104.88999938964844,1.31,1.876489520072937,4824.2998046875,4.5419,1.2352999448776243,9064.2998046875,4.2605,4029.89990234375,5.351842105,0.7612,1.1740000247955322,5742.39990234375,2.249,3093.760009765625,0.6981777548789978,5.99,6.871799945831299,10.48883056640625,3.84,6.273799896240234,195.47000122070312,3.9,421.0,13.579999923706056,45.560001373291016,4.271999835968018,1.4199999570846558,1187.8900146484375,3.18,1239.4300537109375,0.0892037004232406,8.266501426696777,1239.4300537109375,3.0
2005-01-07,83.61000061035156,1186.18994140625,4.29,4316.39990234375,1.3060967922210691,3.5647619047619,11433.240234375,104.88999938964844,1.31,1.8712925910949707,4854.10009765625,4.5419,1.2312999963760376,9006.2001953125,4.2605,4063.199951171875,5.351842105,0.758,1.1841000318527222,5735.2001953125,2.249,3086.89990234375,0.6966213583946228,5.99,6.907199859619141,10.36184310913086,3.84,6.305399894714356,197.1100006103516,3.9,418.8999938964844,13.489999771118164,45.43000030517578,4.284999847412109,1.4149999618530271,1186.18994140625,3.2,1244.7459716796875,0.0898769348859787,8.266501426696777,1244.7459716796875,3.0
2005-01-10,83.29000091552734,1190.25,4.29,4307.3701171875,1.310994029045105,3.5647619047619,11433.240234375,104.16999816894533,1.31,1.8769121170043943,4840.7001953125,4.5419,1.2207000255584717,9026.7998046875,4.2605,4074.89990234375,5.351842105,0.7596,1.1793999671936035,5731.7998046875,2.249,3076.27001953125,0.6951202750205994,5.99,6.895199775695801,10.453272819519045,3.84,6.276000022888184,198.72000122070312,3.9,419.1000061035156,13.229999542236328,45.33000183105469,4.277999877929688,1.41349995136261,1190.25,3.23,1252.4010009765625,0.0908868014812469,8.266501426696777,1252.4010009765625,3.0
2005-01-11,83.0199966430664,1182.989990234375,4.26,4258.009765625,1.3116990327835083,3.5647619047619,11539.990234375,103.41999816894533,1.31,1.878604531288147,4818.7001953125,4.5419,1.2187999486923218,9020.7001953125,4.2605,4072.699951171875,5.351842105,0.7642,1.1823999881744385,5713.10009765625,2.249,3083.7099609375,0.6973987221717834,5.99,6.880899906158447,10.397400856018066,3.84,6.250699996948242,197.5599975585937,3.9,421.8999938964844,13.1899995803833,45.68000030517578,4.24399995803833,1.440000057220459,1182.989990234375,3.24,1257.4620361328125,0.0908868014812469,8.266501426696777,1257.4620361328125,3.0
2005-01-12,82.13999938964844,1187.699951171875,4.25,4208.81982421875,1.3255919218063354,3.5647619047619,11453.3896484375,102.44000244140624,1.31,1.8907164335250848,4783.60009765625,4.5419,1.2014000415802002,9022.7001953125,4.2605,4070.39990234375,5.351842105,0.768,1.1676000356674194,5669.60009765625,2.249,3058.659912109375,0.7069135904312134,5.99,6.825300216674805,10.295815467834473,3.84,6.178400039672852,196.7400054931641,3.9,426.1000061035156,12.5600004196167,46.369998931884766,4.236000061035156,1.444000005722046,1187.699951171875,3.22,1256.9229736328125,0.0918966308236122,8.266501426696777,1256.9229736328125,3.0
2005-01-13,82.51000213623047,1177.449951171875,4.2,4212.14013671875,1.3211086988449097,3.5647619047619,11358.2197265625,102.45999908447266,1.31,1.881007552146912,4800.2998046875,4.5419,1.2021000385284424,9009.099609375,4.2605,4069.5,5.351842105,0.767,1.1720999479293823,5687.7998046875,2.249,3072.929931640625,0.7044237852096558,5.99,6.848700046539307,10.189148902893066,3.84,6.19290018081665,198.2700042724609,3.9,424.5,12.84000015258789,48.040000915527344,4.186999797821045,1.4114999771118164,1177.449951171875,3.21,1256.31396484375,0.0942529737949371,8.266501426696777,1256.31396484375,3.0
